Meme ID,Archived URL,Base Meme Name,Meme Page URL,MD5 Hash,File Size (In Bytes)
12389964,http://webarchive.loc.gov/all/20160209102957/http://cdn.meme.am/instances/250x250/12389964.jpg,Spongebob What I Learned In Boating School Is,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12389964,f1403d93b0780c7cc9e47787950862ba,16927
12390155,http://webarchive.loc.gov/all/20150519225522/http://cdn.meme.am/instances/250x250/12390155.jpg,Courage Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12390155,978afac800816c65064a0dd914b242d5,12090
12390442,http://webarchive.loc.gov/all/20150714091749/http://cdn.meme.am/instances/250x250/12390442.jpg,army,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12390442,5a661fbfa10df21964b5bbb02201219e,8988
12390680,http://webarchive.loc.gov/all/20151205185902/http://cdn.meme.am/instances/250x250/12390680.jpg,typical_proger,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12390680,02e8338974973fa4ea3eaf79e3237189,12489
12391035,http://webarchive.loc.gov/all/20160609165200/https://cdn.meme.am/instances/250x250/12391035.jpg,xzibit,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12391035,d60f96489604a08ba2fcd3352c7597a2,10039
12391316,http://webarchive.loc.gov/all/20160609165156/https://cdn.meme.am/instances/250x250/12391316.jpg,xzibit,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12391316,76534ded001d140e357a9a803e9221f9,11602
12391353,http://webarchive.loc.gov/all/20160609165151/https://cdn.meme.am/instances/250x250/12391353.jpg,xzibit,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12391353,618733886549265e5cbc9996e9094ff4,11620
12391541,http://webarchive.loc.gov/all/20150517064111/http://cdn.meme.am/instances/250x250/12391541.jpg,Art Student Owl,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12391541,a7d275e44924ccbbc9a75e4a0830e90d,12321
12391643,http://webarchive.loc.gov/all/20150920135727/http://cdn.meme.am/instances/250x250/12391643.jpg,Feel Like A Sir,http://memegenerator.net/instance/12391643,565ce9b0e13241cd196d263c016a1ba2,11744
12392041,http://webarchive.loc.gov/all/20160518090220/https://cdn.meme.am/instances/250x250/12392041.jpg,Success Kid,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12392041,32aa2c6b82ba0d42350ecd85dee1294a,10552
12392055,http://webarchive.loc.gov/all/20141007032526/http://cdn.meme.am/instances/250x250/12392055.jpg,Joseph Ducreux,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12392055,f0ef2c04f8051a78b1e093321717f2d5,12471
12392837,http://webarchive.loc.gov/all/20160617060208/https://cdn.meme.am/instances/250x250/12392837.jpg,Slowpoke,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12392837,fbe43b248f5dd9ae90ef17c3d4ea8c24,13198
12393980,http://webarchive.loc.gov/all/20141012054712/http://cdn.meme.am/instances/250x250/12393980.jpg,Professor Farnsworth,http://memegenerator.net/instance/12393980,997c459e9b6de10672272d0ab88bfc1d,10556
12394034,http://webarchive.loc.gov/all/20160817120724/https://cdn.meme.am/instances/250x250/12394034.jpg,Angry Arnold,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12394034,fef647f2c917dbe7774e252d036434d9,10344
12394266,http://webarchive.loc.gov/all/20150312232828/http://cdn.meme.am/instances/250x250/12394266.jpg,typical_proger,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12394266,9004ed9be1742e2ffc07ed0bd3a0bf8e,14070
12394968,http://webarchive.loc.gov/all/20160610174309/https://cdn.meme.am/instances/250x250/12394968.jpg,Sad Keanu,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12394968,0667bcdeabc6331898c6fd2336d97c85,17623
12394986,http://webarchive.loc.gov/all/20150517072319/http://cdn.meme.am/instances/250x250/12394986.jpg,Art Student Owl,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12394986,1b0c0daf40e09dfbc0d002a72f19d497,11440
12395268,http://webarchive.loc.gov/all/20150412190818/http://cdn.meme.am/instances/250x250/12395268.jpg,Foul Bachelor Frog,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12395268,a87e6623c13cf0e41e76bf663475b2e6,10357
12395410,http://webarchive.loc.gov/all/20160627105128/https://cdn.meme.am/instances/250x250/12395410.jpg,Racist Father,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12395410,fdf12c95d94773f4e3d3e089ff9c360f,15954
12395414,http://webarchive.loc.gov/all/20151122032314/http://cdn.meme.am/instances/250x250/12395414.jpg,Slowpoke,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12395414,f8ff493ffbd31755a92ebab5c7963935,14271
12395748,http://webarchive.loc.gov/all/20150409154416/http://cdn.meme.am/instances/250x250/12395748.jpg,Scumbag Steve,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12395748,1a5c30ce603d88c17ff692cb796503ef,15077
12396192,http://webarchive.loc.gov/all/20141213042120/http://cdn.meme.am/instances/250x250/12396192.jpg,Fat Asian Kid,http://memegenerator.net/instance/12396192,0f8bf6d6a8c0863089f480f642ecc842,14849
12396682,http://webarchive.loc.gov/all/20150615232851/http://cdn.meme.am/instances/250x250/12396682.jpg,Butthurt Dweller,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12396682,309ddda7b1149334e513f6b6d0efcc47,12846
12396846,http://webarchive.loc.gov/all/20150409154412/http://cdn.meme.am/instances/250x250/12396846.jpg,Scumbag Steve,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12396846,af4ee68e1e1e04cdb694075cd5832acb,13695
12397460,http://webarchive.loc.gov/all/20150409085301/http://cdn.meme.am/instances/250x250/12397460.jpg,Good Guy Greg,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12397460,b931bc082531245cf092a1614211bdac,14110
12397881,http://webarchive.loc.gov/all/20150910063543/http://cdn.meme.am/instances/250x250/12397881.jpg,Trollface,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12397881,59777b9d5786affc5b3c103f9cf1cb30,14306
12398048,http://webarchive.loc.gov/all/20150919115252/http://cdn.meme.am/instances/250x250/12398048.jpg,El Cuy Dice,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12398048,0b16354b82b245996b9264883eb911b2,11814
12398104,http://webarchive.loc.gov/all/20150919115250/http://cdn.meme.am/instances/250x250/12398104.jpg,El Cuy Dice,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/12398104,a5813da99dbcc09fd7c6fb5fe32d0049,11749
